elapsed_ms,datetime_utc,latitude_deg,longitude_deg,relative_height_ft,preview_page,satellites,gps_level,state_raw,state
100,2022-02-22T19:12:30Z,47.48031478,-53.00945972,0,1,11,0,41,Motors_Started Log filename: FLY079.DAT
200,2022-02-22T19:12:30Z,47.48031479,-53.00945975,0,1,11,0,41,Motors_Started
300,2022-02-22T19:12:31Z,47.4803148,-53.00945976,0,1,11,0,41,Motors_Started
400,2022-02-22T19:12:31Z,47.48031481,-53.00945975,0,1,11,0,41,Motors_Started
500,2022-02-22T19:12:31Z,47.48031487,-53.00945974,0,1,11,0,41,Motors_Started
600,2022-02-22T19:12:31Z,47.48031491,-53.00945973,0,1,11,0,41,Motors_Started
700,2022-02-22T19:12:31Z,47.4803149,-53.00945977,0,1,11,0,41,Motors_Started
800,2022-02-22T19:12:31Z,47.4803149,-53.00945979,0,1,11,0,41,Motors_Started
900,2022-02-22T19:12:31Z,47.48031493,-53.00945982,0,1,11,0,41,Motors_Started
1000,2022-02-22T19:12:31Z,47.48031496,-53.00945983,0,1,11,0,41,Motors_Started
1100,2022-02-22T19:12:31Z,47.48031497,-53.00945991,0,1,12,0,41,Motors_Started
1200,2022-02-22T19:12:31Z,47.48031498,-53.00945995,0,1,12,0,41,Motors_Started
1300,2022-02-22T19:12:32Z,47.48031497,-53.00946,0,1,12,0,41,Motors_Started
1400,2022-02-22T19:12:32Z,47.48031497,-53.00946003,0,1,14,0,41,Motors_Started
1500,2022-02-22T19:12:32Z,47.48031496,-53.00946011,0,1,12,0,41,Motors_Started
1600,2022-02-22T19:12:32Z,47.48031498,-53.00946014,0,1,12,0,41,Motors_Started
1700,2022-02-22T19:12:32Z,47.48031501,-53.00946015,0,1,12,0,41,Motors_Started
1800,2022-02-22T19:12:32Z,47.48031505,-53.00946014,0,1,12,0,41,Motors_Started
1900,2022-02-22T19:12:32Z,47.48031508,-53.00946015,0,1,12,0,41,Motors_Started
2000,2022-02-22T19:12:32Z,47.4803151,-53.00946015,0,1,12,0,41,Motors_Started
